"48","Cute Hair Cut i Lund",,,"046-2111122",,"Bantorget 6",NULL,"Lund",,"22229","SE","55.7043292","13.1884409",,,"1426592679","1426592679","3",NULL,,,,,,,
"49","Salong Ego",,,,,"Kungsgatan 5",NULL,"Växjö",,"35232","SE","56.8799737","14.8087371",,,"1426597462","1441177976","3",NULL,,,,,,,
"50","De E Vi",,,"08-6151919",,"Bondegatan 16",NULL,"Stockholm",,"11633","SE","59.312714","18.078168",,,"1426597564","1426597564","3",NULL,,,,,,,
"51","Diva Diva",,,"046-101222",,"Bangatan 8",NULL,"Lund",,"22221","SE","55.7047758","13.1878706",,,"1426597645","1426597645","3",NULL,,,,,,,
"52","Diva",,,,,"Hamngatan 22",NULL,"Karlstad",,"65225","SE","59.3783965","13.498896",,,"1426597725","1426597725","3",NULL,,,,,,,
"53","Divine",,,"032-218811",,"Kungsgatan 26",NULL,"Alingsås",,"44126","SE","57.930249","12.5354862",,,"1426597837","1426597837","3",NULL,,,,,,,
"54","dLugo",,,"08-6642304",,"Regeringsgatan 84B",NULL,"Stockholm",,"11139","SE","59.3382519","18.0673033",,,"1426597937","1426597937","3",NULL,,,,,,,
"55","Doors Hairstudio",,,"031-242402",,"Kungsgatan 7",NULL,"Göteborg",,"41119","SE","57.7027557","11.958235",,,"1426598021","1426598021","3",NULL,,,,,,,
"56","Drottningsalongen",,,,,"Drottninggatan 25",NULL,"Gävle",,"80311","SE","60.70266639","17.2190094",,,"1426598173","1426598173","3",NULL,,,,,,,
"57","Effekt",,,"0526-15529",,"Skolgatan 1",NULL,"Strömstad",,"45230","SE","58.9381534","11.1725917",,,"1426598378","1426598378","3",NULL,,,,,,,
"58","Egoist",,,"08-204191",,"Vidargatan 2",NULL,"Stockholm",,"11327","SE","59.3443053","18.049148",,,"1426598453","1426598453","3",NULL,,,,,,,
"59","Ekman Hair",,,"08-6679810",,"Nybrogatan 51",NULL,"Stockholm",,"11440","SE","59.337489","18.079529",,,"1426598565","1426598565","3",NULL,,,,,,,
"60","Eleganz",,,"08-55604425",,"Götgatan 61",NULL,"Stockholm",,"11621","SE","59.3131268","18.0741644",,,"1426598689","1426598689","3",NULL,,,,,,,
"61","Eleganze Hair",,,"0223-71000",,"Kristiansbergsvägen 2",NULL,"Fagersta",,"73730","SE","59.9927531","15.8085799",,,"1426598797","1426598797","3",NULL,,,,,,,
"62","Salong Titt In",,,,,"Storgatan 47",NULL,"Smedstorp",,"27398","SE","55.5503807","14.1157682",,,"1426598904","1426598904","3",NULL,,,,,,,
"63","*Elitesse<br><img src=\"http://olaplex.se/salonger/goldmembersign.gif\">",,,"08-55012020",,"Storgatan 2",NULL,"Södertälje",,"15171","SE","59.1950013","17.6282546",,,"1426599013","1489505297","3",NULL,,,,,,,
"64","Ellui",,,,,"Södermannagatan 42",NULL,"Stockholm",,"11640","SE","59.3109489","18.0815598",,,"1426599112","1426599112","3",NULL,,,,,,,
"65","En Frisersalong",,,,,"Knihsgatan 2",NULL,"Rättvik",,"79531","SE","60.8834082","15.1201954",,,"1426599193","1426599193","3",NULL,,,,,,,
"66","En Trappa Upp",,,,,"Stora Nygatan 60",NULL,"Malmö",,"21137","SE","55.6033439","13.0022539",,,"1426599267","1426599267","3",NULL,,,,,,,
"67","Endorfin",,,"031-160071",,"Kungsportsavenyn 41",NULL,"Göteborg",,"41136","SE","57.7006315","11.9747463",,,"1426599366","1427099138","3",NULL,,,,,,,
"68","Eva-Lena Rylander Frisör, Medicinska Kliniken",,,,,"C/O Medicinska Kliniken",NULL,"Sundsvall",,"85641","SE","62.397542","17.3241677",,,"1426599492","1426599492","3",NULL,,,,,,,
"69","*Extend<br><img src=\"http://olaplex.se/salonger/goldmembersign.gif\">",,,"08-6414959",,"Östgötagatan 55",NULL,"Stockholm",,"11624","SE","59.3124805","18.0776811",,,"1426599577","1489505290","3",NULL,,,,,,,
"70","Fager Hår & Skönhet",,,"031-7143236",,"Prinsgatan 12",NULL,"Göteborg",,"41305","SE","57.696398","11.9485972",,,"1426599673","1426599673","3",NULL,,,,,,,
"71","Feel Gr8",,,,,"Sågvägen 40",NULL,"Åkersberga",,"18440","SE","59.4796371","18.2770806",,,"1426599756","1426599756","3",NULL,,,,,,,
"72","Felicious",,,,,"Kungsgatan 2A",NULL,"Lund",,"22350","SE","55.7032727","13.1935733",,,"1426599837","1426599837","3",NULL,,,,,,,
"73","Finns Hair",,,"08-51175095",,"Banvägen 27",NULL,"Vallentuna",,"18632","SE","59.5390876","18.0803096",,,"1426599935","1426599935","3",NULL,,,,,,,
"74","*Folk Stockholm<br><img src=\"http://olaplex.se/salonger/goldmembersign.gif\">",,,"08-208024",,"Birger Jarlsgatan 55",NULL,"Stockholm",,"11145","SE","59.3403287","18.0662697",,,"1426600077","1489505283","3",NULL,,,,,,,
"75","Frida Klippotek",,,"016-133015",,"Rådhustorget 3",NULL,"Eskilstuna",,"63240","SE","59.3685658","16.5205529",,,"1426600157","1426600157","3",NULL,,,,,,,
"76","FRIDA",,,"0243-201197",,"Dalen 4",NULL,"Borlänge",,"78433","SE","60.4860535","15.4381921",,,"1426600247","1426600247","3",NULL,,,,,,,
"77","Fringe",,,"08-313500",,"Upplandsgatan 71",NULL,"Stockholm",,"11328","SE","59.3444349","18.0465488",,,"1426600489","1426600489","3",NULL,,,,,,,
"78","Frisersalong Calufsen",,,"011-64590",,"Katrineholmsvägen 1",NULL,"Åby",,"61631","SE","58.6659627","16.1816614",,,"1426600591","1426600591","3",NULL,,,,,,,
"79","Frissan Malmberg & Hatz",,,"0221-13356",,"Östra Långgatan 6",NULL,"Köping",,"73132","SE","59.5127923","15.9945443",,,"1426600692","1426600692","3",NULL,,,,,,,
"80","Frisscarro & Co",,,"031-191985",,"Norra Gubberogatan 22",NULL,"Göteborg",,"41663","SE","57.7124328","11.9995273",,,"1426600793","1426600793","3",NULL,,,,,,,
"81","*Frisyrateljen<br><img src=\"http://olaplex.se/salonger/goldmembersign.gif\">",,,"040-6118511",,"Själbodgatan 2A",NULL,"Malmö",,"21135","SE","55.6062941","13.0043258",,,"1426677677","1489505276","3",NULL,,,,,,,
"82","Här i Göteborg",,,,,"Olivedalsgatan 27",NULL,"Göteborg",,"41310","SE","57.692083","11.9490531",,,"1426677811","1426677811","3",NULL,,,,,,,
"84","Frisörerna Ekström & Hedin/Andresen",,,,,"Krokslättsgatan 2",NULL,"Mölndal",,"43167","SE","57.6751764","12.007424",,,"1426678132","1426678132","3",NULL,,,,,,,
"85","Frisörgruvan",,,,,"Silvervägen 10",NULL,"Garpenberg",,"77698","SE","60.30018357","16.29728881",,,"1426678227","1426678227","3",NULL,,,,,,,
"86","Frisörhuset",,,"031-209996",,"Kapellgatan 10 C",NULL,"Göteborg",,"41133","SE","57.6940887","11.9722368",,,"1426678315","1426678315","3",NULL,,,,,,,
"87","Frisörknuten",,,"0370-10181",,"Malmövägen 2",NULL,"Värnamo",,"33133","SE","57.1820694","14.0576971",,,"1426678408","1426678408","3",NULL,,,,,,,
"88","Frisörsalong Lilla Paris",,,"044-100070",,"Östra Storgatan 51",NULL,"Kristianstad",,"29131","SE","56.0301156","14.1567979",,,"1426678525","1426678525","3",NULL,,,,,,,
"89","Från Topp Till Tå",,,,,"Kungsgatan 9",NULL,"Enköping",,"74949","SE","59.6366176","17.0813041",,,"1426678616","1426678616","3",NULL,,,,,,,
"92","Gifv Dig Tid",,,,,"Storgatan 10",NULL,"Vislanda",,"34250","SE","56.786955","14.4514351",,,"1426678998","1426678998","3",NULL,,,,,,,
"93","Glada Saxen",,,,,"Björkhagsgatan 6",NULL,"Skogahall",,"66330","SE","59.3255983","13.4676686",,,"1426679091","1426679091","3",NULL,,,,,,,
"94","Glans Studio",,,,,"Kobbarnas Väg 1D",NULL,"Göteborg",,"41647","SE","57.7135244","11.99681",,,"1426679191","1426679191","3",NULL,,,,,,,
"95","Glow",,,"019-6115260",,"Kungsgatan 17",NULL,"Örebro",,"70211","SE","59.2702966","15.2141131",,,"1426679314","1426679314","3",NULL,,,,,,,
"96","Gossip Corner",,,"018-104610",,"Vaksalagatan 19-21",NULL,"Uppsala",,"75331","SE","59.8606395","17.6441644",,,"1426679483","1426679483","3",NULL,,,,,,,
"97","Gossip/Hårstudion",,,"0920-14040",,"Smedjegatan 17A",NULL,"Luleå",,"97233","SE","65.5836061","22.152116",,,"1426679711","1426679711","3",NULL,,,,,,,
"98","Grodan & Co",,,,,"Sjödalsbacken 2",NULL,"Huddinge",,"14161","SE","59.2344838","17.9861935",,,"1426680038","1426680038","3",NULL,,,,,,,
"99","Grym",,,"054-100666",,"Västra Torggatan 18",NULL,"Karlstad",,"65224","SE","59.3819599","13.5020449",,,"1426680138","1426680138","3",NULL,,,,,,,
"100","Gula Markiserna",,,"08-54020275",,"Storängstorget 27",NULL,"Åkersberga",,"18430","SE","59.4808503","18.2984371",,,"1426680240","1426680240","3",NULL,,,,,,,
"101","Gårdsateljen",,,,,"Vänge-Bärby 12",NULL,"Uppsala",,"74020","SE","59.8621462","17.3991991",,,"1426680478","1426680478","3",NULL,,,,,,,
"102","Salong Hanna",,,,,"Värtavägen 59",NULL,"Stockholm",,"11538","SE","59.3475382","18.1019464",,,"1426680649","1426680649","3",NULL,,,,,,,
"103","Hair & Beauty Diar",,,,,"Larsbergstorget 3",NULL,"Lidingö",,"18139","SE","59.349215","18.1446077",,,"1426680750","1426680750","3",NULL,,,,,,,
"104","Hair & Face Barkaby",,,,,"Majorsvägen 2",NULL,"Järfälla",,"17738","SE","59.415298","17.8648251",,,"1426680846","1426680846","3",NULL,,,,,,,
"105","Hair & Face",,,,,"Nygatan 57",NULL,"Skellefteå",,"93130","SE","64.7507234","20.9559691",,,"1426680936","1426680936","3",NULL,,,,,,,
"106","Hair & Makeup Queen",,,,,"Södra Stenbocksgatan 119",NULL,"Helsingborg",,"25244","SE","56.0416889","12.7107605",,,"1426681070","1426681070","3",NULL,,,,,,,
"107","Hair Acadami",,,,,"Allmogevägen 11",NULL,"Järfälla",,"17757","SE","59.4223155","17.8353604",,,"1426681201","1426681201","3",NULL,,,,,,,
"108","*Studio 38<br><img src=\"http://olaplex.se/salonger/goldmembersign.gif\">",,,"0480-28800",,"Norra Vägen 38",NULL,"Kalmar",,"39235","SE","56.668288","16.3533286",,,"1426681329","1489505269","3",NULL,,,,,,,
"109","Hair By Esad",,,"031-231160",,"Wieselgrensplatsen 27",NULL,"Göteborg",,"41717","SE","57.7217178","11.9336856",,,"1426681428","1426681428","3",NULL,,,,,,,
"111","Hair Line",,,"044-103232",,"Västra Storgatan 54",NULL,"Kristianstad",,"29131","SE","56.0281291","14.1569768",,,"1426681718","1426681718","3",NULL,,,,,,,
"112","Hair News",,,,,"Nygatan 13",NULL,"Linköping",,"58219","SE","58.4103682","15.6280766",,,"1426681787","1426681787","3",NULL,,,,,,,
"113","Hair Studio",,,"0383-10080",,"Stortorget 2D",NULL,"Vetlanda",,"57432","SE","57.4262691","15.0877826",,,"1426681908","1426681908","3",NULL,,,,,,,
"114","Haircity",,,,,"Drottninggatan 9",NULL,"Gävle",,"80320","SE","60.6740325","17.1409818",,,"1426681980","1426681980","3",NULL,,,,,,,
"115","Haircut by Olle & Marie",,,,,"Postgången 24A",NULL,"Solna",,"17145","SE","59.360204","18.0002903",,,"1426682085","1426682085","3",NULL,,,,,,,
"116","*Hairdesign<br><img src=\"http://olaplex.se/salonger/goldmembersign.gif\">",,,"0510-10210",,"Stenportsgatan 15",NULL,"Lidköping",,"53130","SE","58.5046146","13.152556",,,"1426682244","1489505260","3",NULL,,,,,,,
"117","Hairdo",,,"08-6443400",,"Bondegatan 7",NULL,"Stockholm",,"11623","SE","59.3128001","18.077694",,,"1426682388","1426682388","3",NULL,,,,,,,
"118","Hairlight Stockholm",,,,,"Rörstrandsgatan 46",NULL,"Stockholm",,"11333","SE","59.3415116","18.027708",,,"1426682520","1426682520","3",NULL,,,,,,,
"119","Hairstyle Fanny",,,,,"Nygatan 50",NULL,"Skellefteå",,"93131","SE","64.7500853","20.9543996",,,"1426682623","1426682623","3",NULL,,,,,,,
"120","Hairteam",,,"018-105909",,"Sysslomansgatan 8",NULL,"Uppsala",,"75311","SE","59.8597937","17.630509",,,"1426682714","1426682714","3",NULL,,,,,,,
"121","Fåfäng STHLM",,,"08-206099",,"Skeppargatan 27",NULL,"Stockholm",,"11452","SE","59.3346786","18.0828389",,,"1426682807","1426682807","3",NULL,,,,,,,
"122","Harmoniq",,,"021-44481850",,"Citytunneln Lastkaj 1-2",NULL,"Västerås",,"72213","SE","59.6114219","16.5477545",,,"1426686270","1426686298","3",NULL,,,,,,,
"123","Harmony",,,,,"Voxnäsgatan 10",NULL,"Karlstad",,"65340","SE","59.381903","13.4912038",,,"1426686380","1426686380","3",NULL,,,,,,,
"124","Headorama",,,"040-308018",,"Amiralsgatan 1",NULL,"Malmö",,"21141","SE","55.6016796","13.0059248",,,"1426686447","1426686447","3",NULL,,,,,,,
"125","*Heaven Or Hell/Traneskog, Zabina<br><img src=\"http://olaplex.se/salonger/goldmembersign.gif\">",,,"0150-50540",,"Köpmangatan 14",NULL,"Katrineholm",,"64130","SE","58.9956341","16.2058722",,,"1426686534","1489505253","3",NULL,,,,,,,
"126","Hej!",,,,,"Rådmansgatan 52",NULL,"Stockholm",,"11357","SE","59.3408018","18.0597943",,,"1426686621","1426686621","3",NULL,,,,,,,
"127","Honey Im Home",,,"040-303444",,"Rundelsgatan 16",NULL,"Malmö",,"21136","SE","55.6061114","13.005377",,,"1426686694","1426686694","3",NULL,,,,,,,
"128","Hos Erika",,,"0590-15075",,"Hertig Filipsgatan 5B",NULL,"Filipstad",,"68231","SE","59.7117024","14.1622411",,,"1426686767","1441094756","3",NULL,,,,,,,
"129","Hos Sasha",,,"0380-10086",,"Köpmangatan 14A",NULL,"Nässjö",,"57132","SE","57.6649039","14.9722275",,,"1426686858","1426686858","3",NULL,,,,,,,
"130","House Of Egoista",,,"08-6404511",,"Katarina Bangata 25, nb",NULL,"Stockholm",,"11639","SE","59.3117424","18.0789725",,,"1426686939","1426686939","3",NULL,,,,,,,
"131","Hultmarks Frisörer",,,"0511-12299",,"Hertig Johns Gata 16",NULL,"Skövde",,"54130","SE","58.3895677","13.8465898",,,"1426687048","1426687048","3",NULL,,,,,,,
"132","Huvudhörnan",,,"054-211016",,"Östra Torggatan 4",NULL,"Karlstad",,"65225","SE","59.3789091","13.5045434",,,"1426687124","1426687124","3",NULL,,,,,,,
"133","Hår & Hudbolaget i Skurup",,,"0411-45678",,"Södergatan 2",NULL,"Skurup",,"27434","SE","55.4819677","13.4992298",,,"1426687213","1426687213","3",NULL,,,,,,,
"134","Hår & Hudkällan",,,,,"Galles Gränd 4",NULL,"Norrtälje",,"76130","SE","59.7567323","18.6998489",,,"1426687286","1426687286","3",NULL,,,,,,,
"135","Hår & Skönhet",,,,,"Brogatan 7",NULL,"Bollnäs",,"82143","SE","61.348679","16.3951308",,,"1426687364","1426687364","3",NULL,,,,,,,
"136","Hår & Sånt Butiken",,,"08-257996",,"Ålstensgatan 15",NULL,"Bromma",,"16765","SE","59.3235637","17.9570086",,,"1426687461","1426687461","3",NULL,,,,,,,
